id,stop_id,name,linia,stop_type,geometry
B-22-851,851,Pg Mare de Deu del Coll - Santuari,22,Bus,POINT (2.1489179951 41.4200739986)
B-V19-851,851,Pg Mare de Deu del Coll - Santuari,V19,Bus,POINT (2.1489179951 41.4200739986)
B-87-108984,108984,Pg. Mare de Deu del Coll - Lorda,87,Bus,POINT (2.1492316783 41.4205081333)
B-19-1324,1324,Santa Rosalia - Sant Dalmir,19,Bus,POINT (2.1488150028 41.4232379957)
B-119-1324,1324,Santa Rosalia - Sant Dalmir,119,Bus,POINT (2.1488150028 41.4232379957)
B-H2-1324,1324,Santa Rosalia - Sant Dalmir,H2,Bus,POINT (2.1488150028 41.4232379957)
B-112-2022,2022,Granja Vella - Av Marti i Codolar,112,Bus,POINT (2.1479469963 41.426859004)
B-185-2022,2022,Granja Vella - Av Marti i Codolar,185,Bus,POINT (2.1479469963 41.426859004)
B-V17-2022,2022,Granja Vella - Av Marti i Codolar,V17,Bus,POINT (2.1479469963 41.426859004)
B-107-695,695,Via Sant Jaume,107,Bus,POINT (2.1532180038 41.3556999983)
B-141-1491,1491,Calabria - Arago,141,Bus,POINT (2.1513519956 41.3825449955)
B-109-3537,3537,Provenca-Villarroel,109,Bus,POINT (2.1530250029 41.3884370003)
B-22-1522,1522,Av Riera de Cassoles - Via Augusta,22,Bus,POINT (2.1511119952 41.4012260008)
B-24-1522,1522,Av Riera de Cassoles - Via Augusta,24,Bus,POINT (2.1511119952 41.4012260008)
B-V17-1522,1522,Av Riera de Cassoles - Via Augusta,V17,Bus,POINT (2.1511119952 41.4012260008)
B-27-1262,1262,Pl Gal?la Placidia,27,Bus,POINT (2.1522920016 41.3995640015)
B-87-1262,1262,Pl Gal?la Placidia,87,Bus,POINT (2.1522920016 41.3995640015)
B-V15-1262,1262,Pl Gal?la Placidia,V15,Bus,POINT (2.1522920016 41.3995640015)
B-D40-1262,1262,Pl Gal?la Placidia,D40,Bus,POINT (2.1522920016 41.3995640015)
B-27-120,120,Av Riera de Cassoles - Rambla de Prat,27,Bus,POINT (2.1512299951 41.4015260008)
B-D40-120,120,Av Riera de Cassoles - Rambla de Prat,D40,Bus,POINT (2.1512299951 41.4015260008)
B-116-1986,1986,Sant Salvador - Verdi,116,Bus,POINT (2.1534130019 41.4070090027)
B-116-2199,2199,"Av del Coll del Portell, 74",116,Bus,POINT (2.1514890006 41.4114660031)
B-87-106167,106167,Llobregos - Fastenrath,87,Bus,POINT (2.1512728626 41.4216666463)
B-19-2349,2349,Dante Alighieri - Panta de Tremp,19,Bus,POINT (2.1536750047 41.4255359991)
B-H2-2349,2349,Dante Alighieri - Panta de Tremp,H2,Bus,POINT (2.1536750047 41.4255359991)
B-102-972,972,Pl Botticelli,102,Bus,POINT (2.1531520026 41.4331160014)
B-V21-972,972,Pl Botticelli,V21,Bus,POINT (2.1531520026 41.4331160014)
B-V25-972,972,Pl Botticelli,V25,Bus,POINT (2.1531520026 41.4331160014)
B-V23-972,972,Pl Botticelli,V23,Bus,POINT (2.1531520026 41.4331160014)
B-102-374,374,Ctra d'Horta - Pg de Valldaura,102,Bus,POINT (2.1535590016 41.4372739991)
B-V25-374,374,Ctra d'Horta - Pg de Valldaura,V25,Bus,POINT (2.1535590016 41.4372739991)
B-107-2693,2693,Via Sant Salvador - Via Sant Lluis,107,Bus,POINT (2.155153439 41.3584164667)
B-V11-54,54,Comte d'Urgell - Arago,V11,Bus,POINT (2.1554669943 41.3845740021)
B-7-221,221,Balmes - Rossello,7,Bus,POINT (2.1568830036 41.3935600037)
B-67-221,221,Balmes - Rossello,67,Bus,POINT (2.1568830036 41.3935600037)
B-V15-221,221,Balmes - Rossello,V15,Bus,POINT (2.1568830036 41.3935600037)
B-22-286,286,Via Augusta - Diagonal,22,Bus,POINT (2.1550359968 41.3964209984)
B-24-286,286,Via Augusta - Diagonal,24,Bus,POINT (2.1550359968 41.3964209984)
B-V17-286,286,Via Augusta - Diagonal,V17,Bus,POINT (2.1550359968 41.3964209984)
B-6-94,94,Diagonal - Balmes,6,Bus,POINT (2.155381999 41.3954039987)
B-33-94,94,Diagonal - Balmes,33,Bus,POINT (2.155381999 41.3954039987)
B-34-94,94,Diagonal - Balmes,34,Bus,POINT (2.155381999 41.3954039987)
B-H8-94,94,Diagonal - Balmes,H8,Bus,POINT (2.155381999 41.3954039987)
B-24-368,368,Trav de Dalt - Torrent de les Flors,24,Bus,POINT (2.1566360017 41.4104599986)
B-H6-368,368,Trav de Dalt - Torrent de les Flors,H6,Bus,POINT (2.1566360017 41.4104599986)
B-D40-368,368,Trav de Dalt - Torrent de les Flors,D40,Bus,POINT (2.1566360017 41.4104599986)
B-102-1430,1430,Pl de l'Estatut,102,Bus,POINT (2.1551939957 41.4307870005)
B-V21-1430,1430,Pl de l'Estatut,V21,Bus,POINT (2.1551939957 41.4307870005)
B-V25-1430,1430,Pl de l'Estatut,V25,Bus,POINT (2.1551939957 41.4307870005)
B-V23-1430,1430,Pl de l'Estatut,V23,Bus,POINT (2.1551939957 41.4307870005)
B-102-1759,1759,Ctra del Cementiri de Collserola - Recinte Hebreu,102,Bus,POINT (2.1550279993 41.4597210007)
B-107-2317,2317,Via Sant Jordi,107,Bus,POINT (2.1576019978 41.3557320021)
B-55-657,657,Fundacio Joan Miro - Pl Neptu,55,Bus,POINT (2.1596310033 41.3678609962)
B-150-657,657,Fundacio Joan Miro - Pl Neptu,150,Bus,POINT (2.1596310033 41.3678609962)
B-55-279,279,Franca Xica - Concordia,55,Bus,POINT (2.1594970035 41.3721629976)
B-121-279,279,Franca Xica - Concordia,121,Bus,POINT (2.1594970035 41.3721629976)
B-V9-3568,3568,Viladomat - Sepulveda,V9,Bus,POINT (2.1580329947 41.3790590038)
B-V11-312,312,Comte d'Urgell - Gran Via,V11,Bus,POINT (2.157997995 41.3826679967)
B-H12-1469,1469,Gran Via - Urgell,H12,Bus,POINT (2.1590860004 41.382423004)
B-52-1469,1469,Gran Via - Urgell,52,Bus,POINT (2.1590860004 41.382423004)
B-59-560,560,Villarroel - Gran Via,59,Bus,POINT (2.1592010051 41.3832909978)
B-141-560,560,Villarroel - Gran Via,141,Bus,POINT (2.1592010051 41.3832909978)
B-V11-560,560,Villarroel - Gran Via,V11,Bus,POINT (2.1592010051 41.3832909978)
B-59-56,56,Casanova - Arago,59,Bus,POINT (2.1580169975 41.3860389987)
B-116-1996,1996,Pl Rovira i Trias,116,Bus,POINT (2.1587810059 41.4075849965)
B-39-187,187,Escorial - Clinica Nostra Senyora del Remei,39,Bus,POINT (2.159031001 41.4098039959)
B-116-187,187,Escorial - Clinica Nostra Senyora del Remei,116,Bus,POINT (2.159031001 41.4098039959)
B-24-1448,1448,Ctra del Carmel - Muhlberg,24,Bus,POINT (2.1576570048 41.4179559968)
B-86-1448,1448,Ctra del Carmel - Muhlberg,86,Bus,POINT (2.1576570048 41.4179559968)
B-V19-1448,1448,Ctra del Carmel - Muhlberg,V19,Bus,POINT (2.1576570048 41.4179559968)
B-24-1447,1447,Ctra del Carmel - Pasteur,24,Bus,POINT (2.1584520027 41.417215997)
B-86-1447,1447,Ctra del Carmel - Pasteur,86,Bus,POINT (2.1584520027 41.417215997)
B-V19-1447,1447,Ctra del Carmel - Pasteur,V19,Bus,POINT (2.1584520027 41.417215997)
B-V23-2233,2233,Rambla del Carmel - Llobregos,V23,Bus,POINT (2.157770005 41.4246719986)
B-19-1410,1410,Dante Alighieri - Rambla del Carmel,19,Bus,POINT (2.1575830051 41.4275660013)
B-86-1410,1410,Dante Alighieri - Rambla del Carmel,86,Bus,POINT (2.1575830051 41.4275660013)
B-87-1410,1410,Dante Alighieri - Rambla del Carmel,87,Bus,POINT (2.1575830051 41.4275660013)
B-H2-1410,1410,Dante Alighieri - Rambla del Carmel,H2,Bus,POINT (2.1575830051 41.4275660013)
B-19-476,476,Rambla del Carmel,19,Bus,POINT (2.158313 41.426036998)
B-102-476,476,Rambla del Carmel,102,Bus,POINT (2.158313 41.426036998)
B-87-476,476,Rambla del Carmel,87,Bus,POINT (2.158313 41.426036998)
B-V21-476,476,Rambla del Carmel,V21,Bus,POINT (2.158313 41.426036998)
B-V23-476,476,Rambla del Carmel,V23,Bus,POINT (2.158313 41.426036998)
B-102-1743,1743,Ctra Cementiri de Collserola - Coll de La Ventosa,102,Bus,POINT (2.1589369941 41.4499210044)
B-102-2955,2955,Agrupacions numeros 5 i 6,102,Bus,POINT (2.1582339985 41.4589589985)
B-91-3561,3561,Manso-Calabria,91,Bus,POINT (2.160303998 41.3765310006)
B-7-281,281,Pg de Gracia - Diagonal,7,Bus,POINT (2.160125002 41.3961399963)
B-22-281,281,Pg de Gracia - Diagonal,22,Bus,POINT (2.160125002 41.3961399963)
B-24-281,281,Pg de Gracia - Diagonal,24,Bus,POINT (2.160125002 41.3961399963)
B-V15-281,281,Pg de Gracia - Diagonal,V15,Bus,POINT (2.160125002 41.3961399963)
B-39-1135,1135,Pau Claris - Rossello,39,Bus,POINT (2.1620740032 41.3964670008)
B-116-1984,1984,Escorial - Sant Lluis,116,Bus,POINT (2.1622980037 41.4063449986)
B-22-546,546,IES Ferran Tallada,22,Bus,POINT (2.1618410024 41.4206919987)
B-119-546,546,IES Ferran Tallada,119,Bus,POINT (2.1618410024 41.4206919987)
B-V23-1243,1243,Montserrat de Casanovas - Mari,V23,Bus,POINT (2.1619139965 41.4224139993)
