id,stop_id,name,linia,stop_type,geometry
SB-246,246,Camèlies - Abd el-Kader,IU Stop,Bus,POINT (2.164368000707267 41.413863997663)
SB-247,247,Metro Glòries,IU Stop,Bus,POINT (2.1870925597179918 41.402431089947754)
SB-250,250,Diagonal - Manuel Ballbé,IU Stop,Bus,POINT (2.1100760101783558 41.384080219994516)
SB-251,251,Diagonal - Parc de Cervantes,IU Stop,Bus,POINT (2.108386005547379 41.38363100196348)
SB-252,252,Portal de la Pau,IU Stop,Bus,POINT (2.1785409965971176 41.37669500026655)
SB-253,253,Moll de la Fusta,IU Stop,Bus,POINT (2.180277998213883 41.378844999791646)
SB-254,254,Pg Colom - Via Laietana,IU Stop,Bus,POINT (2.1819211197441337 41.38088678952919)
SB-255,255,Pg Colom - Via Laietana,IU Stop,Bus,POINT (2.181714688944227 41.38074582939776)
SB-256,256,Moll de la Fusta,IU Stop,Bus,POINT (2.1803789962424123 41.37909800203089)
SB-257,257,Portal de la Pau,IU Stop,Bus,POINT (2.178442000321652 41.37670000428282)
SB-258,258,Pg Santa Coloma - Pg Torras i Bages,IU Stop,Bus,POINT (2.1891610006157576 41.444686002371654)
SB-259,259,Ctra Nacional 152 - Av l'Alzinar,IU Stop,Bus,POINT (2.183157006004366 41.46090999628797)
SB-261,261,Pg Sant Gervasi - Pl Kennedy,IU Stop,Bus,POINT (2.137659005184857 41.410352996996515)
SB-262,262,Av República Argentina - Baixada Gomis,IU Stop,Bus,POINT (2.1424360016088544 41.411608997904416)
SB-263,263,Av Madrid - Arizala,IU Stop,Bus,POINT (2.1251509993954953 41.37704199796619)
SB-264,264,Av Ferrer i Guàrdia - Mèxic,IU Stop,Bus,POINT (2.149874999401543 41.37116799784746)
SB-265,265,Poble Espanyol,IU Stop,Bus,POINT (2.146282996917801 41.369413004040155)
SB-266,266,Gran Vista - Doctor Bové,IU Stop,Bus,POINT (2.1581980014883317 41.419148004349964)
SB-267,267,Doctor Bové - Penyal,IU Stop,Bus,POINT (2.162703997636673 41.42106300357845)
SB-268,268,Doctor Bové - Gran Vista,IU Stop,Bus,POINT (2.158381994052417 41.419353000084456)
SB-269,269,Doctor Bové - Ptge de la Cadernera,IU Stop,Bus,POINT (2.160418995370121 41.42065199557425)
SB-270,270,Doctor Bové - Baixada Passerell,IU Stop,Bus,POINT (2.160177999220189 41.420639004308946)
SB-271,271,Doctor Bové - Conca de Tremp,IU Stop,Bus,POINT (2.1578330051062613 41.419021003167146)
SB-272,272,Doctor Bové - Pg de la Font de la Mulassa,IU Stop,Bus,POINT (2.1630919953120973 41.420910997534996)
SB-273,273,Hospital del Mar,IU Stop,Bus,POINT (2.1950210023215417 41.383580003728504)
SB-278,278,Poble Sec,IU Stop,Bus,POINT (2.160473997652338 41.37152600101885)
SB-279,279,França Xica - Concòrdia,IU Stop,Bus,POINT (2.159497003516284 41.37216299759902)
SB-280,280,França Xica - Grases,IU Stop,Bus,POINT (2.1563419972965154 41.37208100036037)
SB-281,281,Pg de Gràcia - Diagonal,IU Stop,Bus,POINT (2.1601250020105565 41.39613999634887)
SB-282,282,Casanova - Diagonal,IU Stop,Bus,POINT (2.148577001550876 41.39318100254519)
SB-284,284,Lepant - Diagonal,IU Stop,Bus,POINT (2.1792610008113495 41.402421000846715)
SB-285,285,Muntaner - Diagonal,IU Stop,Bus,POINT (2.1489149997327783 41.39447399784877)
SB-286,286,Via Augusta - Diagonal,IU Stop,Bus,POINT (2.155035996796164 41.396420998440334)
SB-287,287,Calvet - Diagonal,IU Stop,Bus,POINT (2.144983003659208 41.39346000296257)
SB-289,289,Balmes - Diagonal,IU Stop,Bus,POINT (2.1540220007492756 41.39577599716259)
SB-291,291,Carles III - Mejía Lequerica,IU Stop,Bus,POINT (2.1275190031973965 41.38524000079196)
