id,stop_id,name,linia,stop_type,geometry
SB-454,454,Sagrera - Martí Molins,IU Stop,Bus,POINT (2.1910819967547406 41.42302600189548)
SB-455,455,Meridiana - La Sagrera,IU Stop,Bus,POINT (2.1867599954368595 41.421937002037474)
SB-458,458,Pl Pius XII,IU Stop,Bus,POINT (2.1215530054008918 41.386963996477775)
SB-459,459,Av Mare de Déu de Montserrat - Gènova,IU Stop,Bus,POINT (2.1701289992938784 41.41649900036562)
SB-460,460,Av Mare de Déu de Montserrat - Francesc Alegre,IU Stop,Bus,POINT (2.1675797997647956 41.415661630102335)
SB-469,469,Rambla Prim - Ferrer Bassa,IU Stop,Bus,POINT (2.2151019889986077 41.41480413959914)
SB-471,471,Aiguablava - Via Favència,IU Stop,Bus,POINT (2.180759995995179 41.44744900180069)
SB-475,475,Pg Maragall - Dante Alighieri,IU Stop,Bus,POINT (2.1628469984928675 41.42868800448602)
SB-476,476,Rambla del Carmel,IU Stop,Bus,POINT (2.158312999971833 41.42603699802895)
SB-477,477,Rambla del Carmel - Dante Alighieri,IU Stop,Bus,POINT (2.1572410042096286 41.427200001062154)
SB-481,481,Maria Cristina - Carles III,IU Stop,Bus,POINT (2.12802799461774 41.389326003162374)
SB-483,483,Diagonal - Numància,IU Stop,Bus,POINT (2.131638459427172 41.38954116967683)
SB-484,484,Les Corts - Vallespir,IU Stop,Bus,POINT (2.1327249978005574 41.385516002815024)
SB-485,485,Mercat de Les Corts,IU Stop,Bus,POINT (2.129907997245556 41.38369100133153)
SB-487,487,Mitre - Prat de la Riba,IU Stop,Bus,POINT (2.131301000580248 41.393274000803615)
SB-491,491,Diagonal - Joan Güell,IU Stop,Bus,POINT (2.128121997125069 41.388025997063615)
SB-492,492,Diagonal - Av Joan XXIII,IU Stop,Bus,POINT (2.1229850039220697 41.38693199938228)
SB-493,493,Diagonal - Gran Via Carles III,IU Stop,Bus,POINT (2.1255769965450284 41.38758899781322)
SB-494,494,Diagonal - Gandesa,IU Stop,Bus,POINT (2.128934000089846 41.38844299701231)
SB-495,495,Av Mare de Déu de Montserrat - Cartagena,IU Stop,Bus,POINT (2.1698919999071142 41.416050997696736)
SB-496,496,Pg Torras i Bages - Residència,IU Stop,Bus,POINT (2.1909089990435793 41.439415000585214)
SB-497,497,Alcántara - Garigliano,IU Stop,Bus,POINT (2.172429998586486 41.445521003532804)
SB-499,499,Gran Via - Padilla,IU Stop,Bus,POINT (2.183267003015758 41.40038899827895)
SB-503,503,Metro Tetuan,IU Stop,Bus,POINT (2.173665995213939 41.39376199706256)
SB-505,505,Trav de Dalt - La Granja,IU Stop,Bus,POINT (2.153525996392289 41.408840999449914)
SB-510,510,Meridiana - La Sagrera,IU Stop,Bus,POINT (2.1870900007695324 41.42140200311687)
SB-511,511,Meridiana - Cardenal Tedeschini,IU Stop,Bus,POINT (2.186340998019887 41.42502000412932)
SB-512,512,Av de Sarrià - Mestre Villa,IU Stop,Bus,POINT (2.132753996808595 41.392242002286615)
SB-516,516,Carles III - Numància,IU Stop,Bus,POINT (2.129243997502404 41.39168599655763)
SB-520,520,Av de Sarrià - Diagonal,IU Stop,Bus,POINT (2.1369949948810163 41.39159200439814)
SB-523,523,Via Augusta - Ronda General Mitre,IU Stop,Bus,POINT (2.132077000415774 41.397695002615315)
SB-524,524,Diagonal - Ganduxer,IU Stop,Bus,POINT (2.1400229968550923 41.39165000313343)
SB-526,526,Ganduxer - Alacant,IU Stop,Bus,POINT (2.133574003351368 41.4001859999661)
SB-527,527,Ganduxer - Emancipació,IU Stop,Bus,POINT (2.131277000017369 41.40315300089843)
SB-529,529,Mitre - Mandri,IU Stop,Bus,POINT (2.1353669962115327 41.400649997065855)
SB-534,534,Pl Alfonso Comín - Av República Argentina,IU Stop,Bus,POINT (2.1382620005221376 41.41449600265102)
SB-541,541,Guipúscoa - Treball,IU Stop,Bus,POINT (2.199803997559482 41.418160002611586)
SB-542,542,Guipúscoa - Cantàbria,IU Stop,Bus,POINT (2.2017540033705814 41.420063000885186)
