,origen,dest,tram,linia,type,geometry,length,speed,time,directed
45,B-D20-722,B-D20-723,Paral·lel - Cabanes - Paral·lel - Drassanes,D20,Bus,"LINESTRING (2.170639242107746 41.37482964653083, 2.1715499799999995 41.3747681, 2.17168262 41.374769050000026, 2.1730500100000003 41.37468894999999, 2.174561664780682 41.37458174289071)",329.2365441872521,3.333333333333333,1.6461827209362605,True
46,B-D20-723,B-D20-2618,Paral·lel - Drassanes - Les Drassanes,D20,Bus,"LINESTRING (2.174561664780682 41.37458174289071, 2.17480928 41.37456418, 2.17515866 41.374545399999995, 2.1752799600000006 41.37452573999998, 2.1753855100000004 41.374482500000006, 2.1754301800000007 41.37445202000001, 2.1754977 41.37437716, 2.17551887 41.374334659999995, 2.17553728 41.37423755000001, 2.1755341500000003 41.37418477, 2.17552153 41.3741328, 2.17546438 41.37399489999998, 2.1754524499999994 41.37387404, 2.1754724899999998 41.37374134, 2.175529740000001 41.373614919999994, 2.1755715500000004 41.373555929999995, 2.17561793 41.373504249999996, 2.1756773 41.373454989999985, 2.17574338 41.37341084, 2.17589255 41.37333992, 2.1759738799999995 41.373313970000005, 2.1761354800000006 41.37328046, 2.1762944900000005 41.37326873999997, 2.1764651399999995 41.37331297000001, 2.176619650000001 41.37338322999998, 2.1766886500000004 41.37342717999998, 2.1767511099999997 41.37347637, 2.17682585 41.37355416999999, 2.176892600000001 41.373649649999976, 2.17692272 41.37371383, 2.1769552 41.37384755, 2.176949660000001 41.37398343, 2.1769063500000003 41.374115399999994, 2.176871069999999 41.374178070000006, 2.1767796700000015 41.37428896, 2.1767656599999996 41.37432711, 2.17676598 41.37440596, 2.1767989 41.37447364, 2.1770772612817195 41.374828272139496)",460.7769771531489,3.333333333333333,2.303884885765745,True
47,B-D20-2618,B-D20-252,Les Drassanes - Portal de la Pau,D20,Bus,"LINESTRING (2.1770772612817195 41.374828272139496, 2.1775405800000005 41.37541853, 2.1776075200000005 41.37547061000001, 2.17776452 41.37552175999999, 2.17783025 41.375550909999994, 2.17794471 41.37562658, 2.1780028300000005 41.37568466999999, 2.17806165 41.375782399999984, 2.178077560000002 41.375834819999994, 2.17809577 41.37613592, 2.17813764 41.37622641, 2.178522388635767 41.376703513979145)",249.63527855950315,3.333333333333333,1.2481763927975158,True
48,B-D20-252,B-D20-253,Portal de la Pau - Moll de la Fusta,D20,Bus,"LINESTRING (2.178522388635767 41.376703513979145, 2.180257121568763 41.378854551600845)",279.4222439629188,3.333333333333333,1.397111219814594,True
49,B-D20-253,B-D20-254,Moll de la Fusta - Pg Colom - Via Laietana,D20,Bus,"LINESTRING (2.180257121568763 41.378854551600845, 2.181902895699805 41.3808951277647)",265.07628423829533,3.333333333333333,1.3253814211914767,True
50,B-D20-254,B-D20-1476,Pg Colom - Via Laietana - Pla de Palau,D20,Bus,"LINESTRING (2.181902895699805 41.3808951277647, 2.1819275700000005 41.38092572, 2.1823664200000006 41.381455049999985, 2.183209040000001 41.38244238, 2.1832635600000003 41.38247449, 2.1832973899999994 41.382481090000006, 2.18336574 41.382472949999986, 2.18414911 41.38210436)",295.29855097570965,3.333333333333333,1.4764927548785485,True
51,B-D20-1476,B-D20-956,Pla de Palau - Pg Joan de Borbó,D20,Bus,"LINESTRING (2.18414911 41.38210436, 2.18474254 41.38184403, 2.1865750200000003 41.380967909999995, 2.186735080000001 41.38087655999999, 2.18680575 41.38082272, 2.1868693200000004 41.38076405999999, 2.1869506700000003 41.38066741, 2.187053400000001 41.3804874, 2.187303824438805 41.37984479710444)",381.33949395687193,3.333333333333333,1.9066974697843597,True
52,B-D20-956,B-D20-1605,Pg Joan de Borbó - Pepe Rubianes,D20,Bus,"LINESTRING (2.187303824438805 41.37984479710444, 2.18736001 41.37970062000001, 2.187727410000001 41.37879694, 2.18780182 41.37868747000002, 2.18802784 41.37811098, 2.18804509 41.37808299, 2.18810258 41.37803960999999, 2.1881397 41.37802656, 2.18822078 41.37802127000001, 2.18853795 41.37808781999999, 2.190059614495702 41.378420536535714)",382.4957304431364,3.333333333333333,1.912478652215682,True
53,B-D20-1605,B-D20-1606,Pepe Rubianes - Pg Marítim - Pepe Rubianes,D20,Bus,"LINESTRING (2.190059614495702 41.378420536535714, 2.19199422 41.37884351, 2.1920446800000004 41.37885977, 2.1920869799999996 41.37888676, 2.1921655399999995 41.37899174, 2.1922767291849095 41.37917242212359)",213.17000257341178,3.333333333333333,1.065850012867059,True
54,B-D20-1606,B-D20-1283,Pg Marítim - Pepe Rubianes - Platja de la Barceloneta,D20,Bus,"LINESTRING (2.1922767291849095 41.37917242212359, 2.1931067234591266 41.38052112589166)",165.04043502031567,3.333333333333333,0.8252021751015785,True
55,B-D20-1283,B-D20-273,Platja de la Barceloneta - Hospital del Mar,D20,Bus,"LINESTRING (2.1931067234591266 41.38052112589166, 2.1949949078910533 41.3835891137796)",375.4313959237654,3.333333333333333,1.8771569796188274,True
