origen,dest,tram,mode,lines,type,time,directed,geometry
B-B25-31,B-B20-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,B25 - B20,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
B-136-31,B-B20-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,136 - B20,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
SB-31,B-136-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,IU Stop - 136,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
B-B25-31,B-136-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,B25 - 136,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
B-B20-31,B-136-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,B20 - 136,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
SB-32,B-7-32,Metro Glòries - Metro Glòries,Bus - Bus,IU Stop - 7,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-H12-32,B-7-32,Metro Glòries - Metro Glòries,Bus - Bus,H12 - 7,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-V25-32,B-7-32,Metro Glòries - Metro Glòries,Bus - Bus,V25 - 7,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-X1-32,B-7-32,Metro Glòries - Metro Glòries,Bus - Bus,X1 - 7,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
SB-32,B-H12-32,Metro Glòries - Metro Glòries,Bus - Bus,IU Stop - H12,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-7-32,B-H12-32,Metro Glòries - Metro Glòries,Bus - Bus,7 - H12,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-V25-32,B-H12-32,Metro Glòries - Metro Glòries,Bus - Bus,V25 - H12,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-X1-32,B-H12-32,Metro Glòries - Metro Glòries,Bus - Bus,X1 - H12,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
SB-32,B-V25-32,Metro Glòries - Metro Glòries,Bus - Bus,IU Stop - V25,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-7-32,B-V25-32,Metro Glòries - Metro Glòries,Bus - Bus,7 - V25,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-H12-32,B-V25-32,Metro Glòries - Metro Glòries,Bus - Bus,H12 - V25,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
B-X1-32,B-V25-32,Metro Glòries - Metro Glòries,Bus - Bus,X1 - V25,Exchange - Self,01:00,True,POINT (2.188084289126144 41.40302045927813)
