origen,dest,tram,linia,type,length,speed,time,directed,geometry
M-L1-121,M-L1-122,Hostafrancs - Espanya,L1,Metro,516.3839204297086,6.944444444444445,01:14,False,"MULTILINESTRING ((2.1432912699999997 41.375253619999995, 2.14758408 41.37516967999999, 2.1478445899999996 41.37517112, 2.14801862 41.37517657, 2.1482514200000002 41.37519673999999, 2.1484811800000005 41.37523151999999, 2.1486759300000005 41.375273130000004, 2.14876531 41.37529489, 2.1488582900000006 41.37532077000001, 2.14890587 41.37533573000002, 2.14909277 41.37539807, 2.14936339 41.37550159999999, 2.1493825 41.37551004000001))"
M-L1-122,M-L1-123,Espanya - Rocafort,L1,Metro,599.8594502621005,6.944444444444445,01:26,False,"MULTILINESTRING ((2.1493825 41.37551004000001, 2.14962473 41.37561784, 2.14983658 41.37572509999999, 2.1498966199999994 41.37575785000001, 2.15009049 41.375875309999984, 2.15024991 41.37598742, 2.1545624800000005 41.37923215))"
M-L1-123,M-L1-124,Rocafort - Urgell,L1,Metro,511.49004709380785,6.944444444444445,01:13,False,"MULTILINESTRING ((2.1545624800000005 41.37923215, 2.1588909100000007 41.382487399999995))"
M-L1-124,M-L1-125,Urgell - Universitat,L1,Metro,587.9091181938542,6.944444444444445,01:24,False,"MULTILINESTRING ((2.1588909100000007 41.382487399999995, 2.16179834 41.38467395999999, 2.16183083 41.384697500000016, 2.16197496 41.38479467000001, 2.1620316200000005 41.38483061, 2.1621788300000007 41.384920259999994, 2.16239108 41.385037469999986, 2.1625612199999997 41.38512239000001, 2.1626871300000006 41.38517887, 2.162947 41.38529005, 2.1635684000000004 41.38553815, 2.16428386 41.38581490000001))"
M-L1-125,M-L1-126,Universitat - Catalunya,L1,Metro,435.80360283232085,6.944444444444445,01:02,False,"MULTILINESTRING ((2.16428386 41.38581490000001, 2.1647085700000006 41.385975529999996, 2.16488101 41.386034609999996, 2.16510183 41.38609987, 2.16516065 41.38612071, 2.16535508 41.38618394, 2.16539433 41.38619801000001, 2.16679558 41.38672422, 2.16735587 41.38692955999999, 2.1680747200000003 41.38720091000001, 2.16822893 41.38725715999999, 2.16848249 41.38733879, 2.16888599 41.38745423999999, 2.1689946 41.38748943))"
M-L1-126,M-L1-127,Catalunya - Urquinaona,L1,Metro,523.4827186615693,6.944444444444445,01:15,False,"MULTILINESTRING ((2.1689946 41.38748943, 2.16916485 41.387544580000004, 2.1698808199999995 41.38781174, 2.17011507 41.38790421000001, 2.1703199000000004 41.38799197000001, 2.1703662800000005 41.38801252999999, 2.1705140100000007 41.38808384, 2.1705715000000003 41.38810832, 2.1709043000000006 41.38824404, 2.17145977 41.388463470000005, 2.17173699 41.388571199999994, 2.1726568300000006 41.388920379999995, 2.1735907200000004 41.389271920000006, 2.1745665800000005 41.389636429999996))"
M-L1-127,M-L1-128,Urquinaona - Arc de Triomf,L1,Metro,629.7932884487141,6.944444444444445,01:30,False,"MULTILINESTRING ((2.1745665800000005 41.389636429999996, 2.1792305800000005 41.391383190000006, 2.17941284 41.39144916, 2.17952814 41.39148895, 2.17989909 41.391629030000004, 2.18014338 41.39173476999999, 2.1803775100000005 41.391852809999996, 2.1806004099999994 41.39198260999999, 2.18116467 41.39233666))"
M-L1-128,M-L1-129,Arc de Triomf - Marina,L1,Metro,476.31071630044937,6.944444444444445,01:08,False,"MULTILINESTRING ((2.18116467 41.39233666, 2.18164255 41.39263512, 2.1817627800000006 41.39271260000002, 2.18197509 41.3928421, 2.18208382 41.39291145000001, 2.1825055500000006 41.39317027999999, 2.1826088200000004 41.39323521, 2.18285312 41.39340206, 2.18299006 41.39350463, 2.18312854 41.39361147000001, 2.1834934700000006 41.393888049999994, 2.18371233 41.39402687999999, 2.18381178 41.394074339999996, 2.1841056400000003 41.394194920000004, 2.1842452 41.394242629999994, 2.1843350400000006 41.39426523000001, 2.1846201800000005 41.39432757, 2.18487836 41.39438221999999, 2.18510606 41.39444127, 2.1853267100000004 41.3945139, 2.18553889 41.39459968000001, 2.1855916100000004 41.39462310999999, 2.1858009500000004 41.394725369999996))"
M-L1-129,M-L1-130,Marina - Glòries,L1,Metro,885.3215289910711,6.944444444444445,02:07,False,"MULTILINESTRING ((2.1858009500000004 41.394725369999996, 2.1860450900000004 41.39486277000001, 2.1861560899999994 41.39492905, 2.18633485 41.39505058, 2.18650004 41.39518253, 2.1866156500000002 41.39528909, 2.1866991100000006 41.395371700000005, 2.18683405 41.39552189999999, 2.18695249 41.395679779999995, 2.1869809300000003 41.39572264, 2.18703022 41.39579933, 2.18711274 41.39594854, 2.1871771499999997 41.39610274000001, 2.1872184 41.39624134000001, 2.18724053 41.39633234, 2.18725503 41.39639738, 2.18728182 41.3965776, 2.18728887 41.39669552, 2.1872896 41.39677271, 2.18727765 41.39695381999999, 2.18726204 41.39705734999999, 2.18721029 41.39732536999999, 2.18706992 41.39798715, 2.18703881 41.39818313999999, 2.18702864 41.39831497, 2.18702642 41.39838045, 2.1870304500000004 41.398503190000014, 2.1870432000000006 41.39864389000001, 2.1870539500000006 41.39872674, 2.18718917 41.399663969999985, 2.18720586 41.39978998000001, 2.18725742 41.40021506000001, 2.18730626 41.40065016999999, 2.18733904 41.40090517, 2.18753747 41.40227722))"
M-L1-130,M-L1-131,Glòries - Clot,L1,Metro,884.0171292908918,6.944444444444445,02:07,False,"MULTILINESTRING ((2.18753747 41.40227722, 2.1875989 41.402704099999994, 2.18761853 41.40287896, 2.1876256500000006 41.40307625999999, 2.1876169000000005 41.403241220000005, 2.1876098099999997 41.40330619, 2.187579 41.40346617, 2.1875292700000006 41.403623409999994, 2.1874667200000006 41.40377267000001, 2.18736768 41.40397296, 2.18720265 41.404276, 2.18711569 41.404462190000004, 2.1870898 41.40452754, 2.1870511100000005 41.40464387000001, 2.1870315299999996 41.404714639999995, 2.18700071 41.40487461, 2.18699256 41.40494265, 2.1869834000000004 41.40505412999999, 2.1869783300000005 41.405255579999995, 2.1869955 41.408861079999994, 2.18699884 41.40899544, 2.18700038 41.40927181000001, 2.18700281 41.4093516, 2.18699938 41.40949996999999, 2.18700271 41.41016343))"
