geometry,stop_id
"POLYGON ((2.1669957432030373 41.37444957954128, 2.166880684349875 41.374599952096354, 2.1668454795590684 41.37590915197915, 2.166945343946902 41.37605926500533, 2.1686892457832747 41.376999967109924, 2.1689369262626106 41.3770140758074, 2.1707492296233575 41.376319774149685, 2.1707894537949626 41.376018072567604, 2.1693511073561162 41.375158468373684, 2.1708130555810676 41.37468627104538, 2.1708298877156316 41.37436116117902, 2.168996890904313 41.37363696295904, 2.1687617405077364 41.37364248139923, 2.1669957432030373 41.37444957954128))",210
"POLYGON ((2.161420897318258 41.379953089029016, 2.161407615184269 41.38150393815804, 2.1615286514812007 41.38166173922647, 2.163314754323509 41.38242594106715, 2.1636720926444406 41.3822693704661, 2.163672840334278 41.38082404696632, 2.1652024972502613 41.37996385370934, 2.1651619057991227 41.379656731594615, 2.1634586693513578 41.379048207781594, 2.1617484364647406 41.3780817961059, 2.161365791602057 41.37823023902442, 2.161420897318258 41.379953089029016))",211
"POLYGON ((2.1651912291039164 41.38898792006599, 2.1650573384278844 41.3891399705407, 2.1649451327919556 41.390686270257454, 2.1650144738943906 41.390823207074824, 2.166619173788959 41.392036909412376, 2.166874068472094 41.39207808996309, 2.168949673095104 41.391480988483075, 2.169010359920971 41.39117002495471, 2.1673367966501864 41.39019841185014, 2.1688029594392506 41.38949941167322, 2.168799482607863 41.38919336203057, 2.1670575851273193 41.388393963918084, 2.166828125962259 41.388385921513645, 2.1651912291039164 41.38898792006599))",213
"POLYGON ((2.173388389402518 41.39470645975189, 2.1737445231789785 41.396386673985, 2.17410509126778 41.39651079432836, 2.175809929006511 41.39572767213583, 2.1775311497461405 41.396626630280174, 2.177906732338084 41.3964767292976, 2.1778712284610133 41.39331681379432, 2.177494217045207 41.39317072744401, 2.1758278528173953 41.39405474543691, 2.1741129759123647 41.39326710124651, 2.1737541939190246 41.393384160530246, 2.173388389402518 41.39470645975189))",214
"POLYGON ((2.1790978156735408 41.400071728626216, 2.1773400024165666 41.39950126244898, 2.1770087571258805 41.39969375798801, 2.1772983520215257 41.40112905852977, 2.1774196482684314 41.401259873004854, 2.179169051166508 41.40198387476479, 2.1793840477695356 41.40198974909318, 2.1812213514634773 41.40135524755168, 2.181360660974018 41.401184105180725, 2.181270254905647 41.399527205310754, 2.1811553415245655 41.399380596837815, 2.179469243979673 41.398609998659765, 2.179105848884589 41.39876316755711, 2.1790978156735408 41.400071728626216))",215
"POLYGON ((2.1720709052150826 41.403296592500936, 2.171954243049884 41.403486362079335, 2.1723667352924383 41.40494946849541, 2.173722335587951 41.40590097039961, 2.1739931967787216 41.405930071549435, 2.1757251987048014 41.40527279983421, 2.1773090537120576 41.40579996856212, 2.1776450753575856 41.405634231075815, 2.1776334142716633 41.40400231806555, 2.1777444722149015 41.402705491875864, 2.177387688428991 41.40253718607587, 2.1757205887933497 41.403248841356756, 2.174171368698973 41.402505667509935, 2.1739243021504224 41.40250109436049, 2.1720709052150826 41.403296592500936))",216
"POLYGON ((2.1829195280585187 41.406377146135895, 2.1811726326751315 41.40569764893996, 2.1808237426681663 41.40584993448639, 2.180727936557823 41.407521634233355, 2.1808675331312615 41.407693248808435, 2.184575871078039 41.408978246887024, 2.18491571120236 41.40881944451782, 2.184972205160073 41.40717014434639, 2.1848281873795226 41.407000216752, 2.1829195280585187 41.406377146135895))",217
"POLYGON ((2.194916653344709 41.41520103573021, 2.193277777676478 41.41584119408336, 2.193270791616273 41.41615816559294, 2.1951806947038657 41.416965767545264, 2.195410657704228 41.416967601759836, 2.1972044608848833 41.41624630004962, 2.197331007491358 41.41608907546364, 2.197350301759866 41.41452717537236, 2.1972374746482055 41.414372563215586, 2.1954591771407954 41.41353916517156, 2.1934218603662345 41.41315276379522, 2.193149547218193 41.413406573366686, 2.193769535237971 41.41434212644505, 2.194916653344709 41.41520103573021))",219
"POLYGON ((2.198700891818816 41.41820971669545, 2.198586874655381 41.418363693823366, 2.198592768709312 41.4199830937821, 2.19894810728967 41.42014017308462, 2.200624917674551 41.41944070464678, 2.2022626588064433 41.420240340324646, 2.2026322313659 41.420089802934925, 2.202639125670698 41.418538502869815, 2.202554540185241 41.41840047028041, 2.2008937411007405 41.41734087249797, 2.2006136889502486 41.417324818730314, 2.198700891818816 41.41820971669545))",220
"POLYGON ((2.2040832539754933 41.42223887427416, 2.2039635595040283 41.422394456171254, 2.2039587541163836 41.42386165611331, 2.2043093897852777 41.424021591899, 2.2057329584094063 41.423458833507404, 2.205722155322895 41.42470532506997, 2.2058612011556082 41.424870070470114, 2.2072724039045237 41.42536027171138, 2.207605586014992 41.42523828982492, 2.2080179463138756 41.42390950178162, 2.2080225406162683 41.42235790172157, 2.2078993509344405 41.42219998503933, 2.2061180538566068 41.42145578684403, 2.205882251044956 41.421457276098494, 2.2040832539754933 41.42223887427416))",221
