service_id,date,exception_type
6400360-FEI EXC VAC,20260707,1
6400360-FEI EXC VAC,20260708,1
6400360-FEI EXC VAC,20260709,1
6400360-FEI EXC VAC,20260710,1
6400360-FEI EXC VAC,20260713,1
6400360-FEI EXC VAC,20260714,1
6400360-FEI EXC VAC,20260715,1
6400360-FEI EXC VAC,20260716,1
6400360-FEI EXC VAC,20260717,1
6400360-FEI EXC VAC,20260720,1
6400360-FEI EXC VAC,20260721,1
6400360-FEI EXC VAC,20260722,1
6700067-FEINERS,20260622,1
6700067-FEINERS,20260623,1
6700067-FEINERS,20260625,1
6700067-FEINERS,20260626,1
6700067-FEINERS,20260629,1
6700067-FEINERS,20260630,1
6700067-FEINERS,20260701,1
6700067-FEINERS,20260702,1
6700067-FEINERS,20260703,1
6700067-FEINERS,20260706,1
6700067-FEINERS,20260707,1
6700067-FEINERS,20260708,1
6700067-FEINERS,20260709,1
6700067-FEINERS,20260710,1
6700067-FEINERS,20260713,1
6700067-FEINERS,20260714,1
6700067-FEINERS,20260715,1
6700067-FEINERS,20260716,1
6700067-FEINERS,20260717,1
6700067-FEINERS,20260720,1
6700067-FEINERS,20260721,1
6700067-FEINERS,20260722,1
6700384-NO LECTIVO C21,20260622,1
6700384-NO LECTIVO C21,20260623,1
6700384-NO LECTIVO C21,20260625,1
6700384-NO LECTIVO C21,20260626,1
6700384-NO LECTIVO C21,20260629,1
6700384-NO LECTIVO C21,20260630,1
6700384-NO LECTIVO C21,20260701,1
6700384-NO LECTIVO C21,20260702,1
6700384-NO LECTIVO C21,20260703,1
6700384-NO LECTIVO C21,20260706,1
6700384-NO LECTIVO C21,20260707,1
6700384-NO LECTIVO C21,20260708,1
6700384-NO LECTIVO C21,20260709,1
6700384-NO LECTIVO C21,20260710,1
6700384-NO LECTIVO C21,20260713,1
6700384-NO LECTIVO C21,20260714,1
6700384-NO LECTIVO C21,20260715,1
6700384-NO LECTIVO C21,20260716,1
6700384-NO LECTIVO C21,20260717,1
6700384-NO LECTIVO C21,20260720,1
6700384-NO LECTIVO C21,20260721,1
6700384-NO LECTIVO C21,20260722,1
6800049-FEINERS,20260622,1
6800049-FEINERS,20260623,1
6800049-FEINERS,20260624,1
6800049-FEINERS,20260625,1
6800049-FEINERS,20260626,1
6800049-FEINERS,20260627,1
6800049-FEINERS,20260628,1
6800049-FEINERS,20260629,1
6800049-FEINERS,20260630,1
