stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
21708,7472,RONDA D´ALFONS X EL SAVI (CABANELLAS),,41.54565,2.44601,,,0,,,
21710,7473,RONDA DE CERVANTES (ESCORXADOR),,41.54515,2.45435,,,0,,,
21749,7475,CAMÍ DE LA GEGANTA/PL. GRANOLLERS (POLICIA LOCAL),,41.541266,2.436482,,,0,,,
21766,3358,C. DE JOAN XXIII / PLAÇA DEL MOLÍ,,41.55495,2.40576,,,0,,,
21767,3359,AV. DE PUIG I CADAFALCH / C. DE BARCELONA,,41.55292,2.40405,,,0,,,
21801,7441,CAMÍ DEL MIG / C. DE L´ABAT MARCET,,41.49686,2.35359,,,0,,,
21803,7442,TORRENT CASTELLS / PASSATGE CAMÈLIES,,41.49621,2.34481,,,0,,,
21804,7443,C. VERGE DEL REMEI / CAMÍ ANTIC DE TEIÀ,,41.50146,2.33931,,,0,,,
21805,7444,CTRA. D´ENLLAÇ (AJUNTAMENT),,41.5051,2.34632,,,0,,,
21856,5375,PLAÇA CIURANA,,41.47142,2.27309,,,0,,,
21893,8980,	UAB-EIX CENTRAL SUD,,41.49977,2.108859,,,0,,,
23253,7091,C. DE BRUSEL.LES (CENTRE COMERCIAL),,41.554871,2.432025,,,0,,,
23278,3664,RDA. DELS PAÏSOS CATALANS (TANATORI DE MATARÓ),,41.551528,2.432359,,,0,,,
23289,7880,GIRONA/CAMÍ DEL MIG (CAP VÍCTOR CATALÀ),,41.49869,2.35988,,,0,,,
25207,6630,"MARTÍ PUJOL, 186 - METRO BADALONA (POMPEU FABRA)",,41.45053,2.24502,,,0,,,
25208,6640,"MARTÍ PUJOL, 209 - METRO BADALONA (POMPEU FABRA)",,41.45084,2.24464,,,0,,,
25357,9437,(PINTOR DOMÈNECH) PINTOR DOMÈNECH / FLOS I CALCAT,,41.48236,2.31897,,,0,,,
25358,9438,AV. FÈLIX MILLET (CEMENTIRI),,41.50127,2.34199,,,0,,,
25449,5587,RONDA GENERAL PRIM / GOYA,,41.53826149173111,2.436123734393303,,,0,,,
25452,7007,RONDA BARCELÓ 67,,41.53246189388629,2.4426139797622826,,,0,,,
27037,3314,ESTACIÓ DE MATARÓ (COSTAT MUNTANYA),,41.534228456895775,2.446213852990713,,,0,,,
7001,3750,CAMÍ RAL (ESTACIÓ DE PREMIÀ DE MAR),,41.4878861819522,2.35534414502998,,,0,,,
7002,3270,CTRA. DE PREMIÀ DE DALT/GRAN VIA DE LLUÍS COMPANYS,,41.4904994394705,2.35233533131159,,,0,,,
7006,3240,CTRA. VILASSAR DE DALT/C. VALÈNCIA (BARRI COTET),,41.49812,2.35957,,,0,,,
7007,3230,ROTONDA DE LES FLORS (ILLA FANTASIA),,41.501980913265,2.35985325796196,,,0,,,
7008,3772,CTRA. DE PREMIÀ DE MAR/C. MESTRE ENRIC MORERA,,41.5067,2.36087,,,0,,,
7009,3760,CTRA. DE PREMIÀ DE MAR/C. DE ST. JOSEP ORIOL,,41.51353140758939,2.360477545119693,,,0,,,
7010,3770,RIERA DE TARGA/CAMÍ DE MATARÓ,,41.5166925233389,2.36193740888159,,,0,,,
7011,3780,PL. DE PAU CASALS (CAN BANÚS),,41.5200043564654,2.35657155949755,,,0,,,
7012,14,RIERA DE  TARGA / C. DE SANT GENÍS,,41.5167100051352,2.36184136214586,,,0,,,
7014,16,CRTA. DE PREMIA DE MAR/MESTRE ENRIC MORERA,,41.50667,2.36067,,,0,,,
7015,18,ILLA FANTASIA,,41.50189678243,2.35930293077579,,,0,,,
7016,17,BARRI COTTET,,41.4985464196967,2.35937189576402,,,0,,,
7018,31,CAMÍ RAL/C. DE JOAN PRIM (BELLAMAR),,41.4896573960466,2.36122044636814,,,0,,,
7019,32,CAMÍ RAL (ESTACIÓ DE PREMIÀ DE MAR),,41.48795,2.35494,,,0,,,
7020,4822,GRAN VÍA-CTRA VILASSAR DE DALT,,41.4942553068268,2.3619659701928,,,0,,,
7021,3252,PLAÇA  DR. FERRAN / C. DE SANTIAGO RUSIÑOL,,41.49501,2.36412,,,0,,,
7022,6190,RONDA DE LA UNIVERSITAT 25,,41.38689,2.166885,,,0,,,
7023,3300,PG. DE LA RIERA / C. EMPORDÀ,,41.5049967096549,2.31727471876717,,,0,,,
7024,79,PG. DE LA RIERA / C. ONZE DE SETEMBRE,,41.50291,2.31802,,,0,,,
7025,81,PG. DE LA RIERA / C. CAN BASSOLS,,41.50115,2.31897,,,0,,,
7026,82,PG. DE LA RIERA / PL. CATALUNYA (MERCAT),,41.49883,2.32109,,,0,,,
7027,83,PG. DE LA RIERA / C. PAU CASALS,,41.4969,2.32215,,,0,,,
7028,84,PG. DE LA RIERA / PL. U D¿OCTUBRE,,41.49543000000001,2.3225653644180255,,,0,,,
7029,85,ERNEST LLUCH / TORRENT DE VALLMORA,,41.489526868870335,2.312740761376957,,,0,,,
7030,86,AV. PRESIDENT KENNEDY / C. LLEIDA,,41.48732,2.32468,,,0,,,
7031,8319,AV. PRESIDENT KENNEDY / C. VÍCTOR FONT GUAL,,41.48743,2.32474,,,0,,,
7032,36,(ESTACIÓ D´OCATA) PG. DE PRAT DE LA RIBA,,41.47927,2.32007,,,0,,,
7036,3400,BÒVILA,,41.48784626147149,2.321167373016344,,,0,,,
7038,3310,PG. DE LA RIERA / C. PAU CASALS,,41.49704,2.32215,,,0,,,
7039,3320,PG. DE LA RIERA / PL. CATALUNYA (MERCAT),,41.4988681028408,2.32123293880858,,,0,,,
7040,3330,PG. DE LA RIERA / PARC CAN GODÓ,,41.50123,2.31907,,,0,,,
7041,3340,PG. DE LA RIERA / TORRENT CAN MÓRA,,41.50316,2.31803,,,0,,,
7044,8369,PL.DE FRANÇA,,41.54912,2.43135,,,0,,,
7045,8371,PL. D´ITÀLIA,,41.54673,2.4316,,,0,,,
7046,8372,VIA D´EUROPA/PTGE. DE JERONI BOADA (VIA EUROPA),,41.54275,2.43328,,,0,,,
7047,8373,PL. GRANOLLERS/VIA D´EUROPA (PL. GRANOLLERS),,41.54106,2.43505,,,0,,,
7048,30,RDA. DE LA REPÚBLICA / C. DE MIQUEL BIADA,,41.5370616835214,2.43677105522469,,,0,,,
7053,7928,CAMÍ RAL (SANT SIMÓ),,41.54158,2.45706,,,0,,,
7054,3560,CTRA. N-II / CAL PILÉ,,41.5430070565593,2.46132142237095,,,0,,,
7055,3550,CTRA. N-II / C. DE TORRENT FORCAT (DELFÍ),,41.5472325971995,2.4712620642274,,,0,,,
7056,3540,CTRA. N-II / CAMÍ DE CAN MERCER,,41.5494513361038,2.47980517057812,,,0,,,
7057,3530,CTRA. N-II / CAMÍ TORRE DORDA (CÀMPING BARCELONA),,41.5507530560829,2.48484281832672,,,0,,,
7058,3520,CTRA. N-II / CAMÍ DEL PLA DE TORRETA (LA MARINADA),,41.5523843340732,2.4911251414551,,,0,,,
7059,3510,SANT ANDREU DE LLAVANERES (ESTACIÓ RODALIES),,41.55565,2.49806,,,0,,,
7060,3500,AV. DE ST. ANDREU/C. DE ST. PERE,,41.5578867641341,2.49909264897027,,,0,,,
7061,3490,AV.DE ST.ANDREU/CAMÍ DE CAN PI (LES LLOSES),,41.5622642460914,2.49495729728258,,,0,,,
7062,3480,AV. DE ST.ANDREU/CAMÍ MASIA,,41.5655930409374,2.48999007724914,,,0,,,
7063,3470,AV. DE  ST.ANDREU/PTGE. MASSORRA (LA CREU),,41.5694809622038,2.48522180632876,,,0,,,
7064,3460,AV. DE  CATALUNYA / C. DE CLÒSENS,,41.57282,2.48344,,,0,,,
7065,3450,BV-5031 / AV. DE ROCA FERRERA (CAN PASSI),,41.5737459743735,2.49232493956836,,,0,,,
7066,3440,BV-5031 (CAN FERRAN),,41.5749961315704,2.49599767120291,,,0,,,
