route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
47,4700366-SABADOS,47000070009,BARNA-P.GR(SAB-FES),,1,,0047_0007,1
47,4700366-SABADOS,47000070010,BARNA-P.GR(SAB-FES),,1,,0047_0007,1
47,4700366-SABADOS,47000070011,BARNA-P.GR(SAB-FES),,1,,0047_0007,1
47,4700366-SABADOS,47000070012,BARNA-P.GR(SAB-FES),,1,,0047_0007,1
47,4700366-SABADOS,47000070013,BARNA-P.GR(SAB-FES),,1,,0047_0007,1
47,4700366-FESTIUS,47002020012,BARNA-LES HORTES(R),,1,,0047_0202,1
47,4700366-FESTIUS,47002020014,BARNA-LES HORTES(R),,1,,0047_0202,1
47,4700366-FESTIUS,47003020012,P.LES HORTES-PL.TER.,,1,,0047_0302,1
47,4700366-FESTIUS,47003020014,P.LES HORTES-PL.TER.,,1,,0047_0302,1
47,4700366-SABADOS,47002020038,BARNA-LES HORTES(R),,1,,0047_0202,1
47,4700366-SABADOS,47002020039,BARNA-LES HORTES(R),,1,,0047_0202,1
47,4700366-SABADOS,47003020033,P.LES HORTES-PL.TER.,,1,,0047_0302,1
47,4700366-SABADOS,47003020034,P.LES HORTES-PL.TER.,,1,,0047_0302,1
47,4700366-FESTIUS,47000060002,C.RAL-BARNA(RELLEU),,0,,0047_0006,1
47,4700366-SABADOS,47000060003,C.RAL-BARNA(RELLEU),,0,,0047_0006,1
47,4700366-SABADOS,47000020321,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020322,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020323,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020324,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020325,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020326,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020327,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020328,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020330,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020331,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020332,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000020333,BCN - MAT(CENTRE),,1,,0047_0002,1
