trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
1909_0272,11:32:00,11:32:00,2130,1,0.0,1
1909_0272,11:33:30,11:33:40,2129,2,672.418,1
1909_0272,11:36:00,11:36:10,2011,3,1328.24,1
1909_0272,11:38:00,11:38:10,2128,4,1716.92,1
1909_0272,11:39:30,11:39:40,2127,5,2181.642,1
1909_0272,11:42:00,11:42:10,2126,6,2872.752,1
1909_0272,11:43:30,11:43:30,2125,7,3444.572,1
1909_0273,11:50:05,11:50:05,2125,1,0.0,1
1909_0273,11:51:05,11:51:15,2026,2,592.947,1
1909_0273,11:53:35,11:53:45,2027,3,1257.009,1
1909_0273,11:55:05,11:55:15,2028,4,1728.381,1
1909_0273,11:57:05,11:57:15,2013,5,2236.943,1
1909_0273,11:59:05,11:59:15,2014,6,2898.022,1
1909_0273,12:01:05,12:01:15,2016,7,3405.137,1
1909_0273,12:03:05,12:03:15,2017,8,4040.885,1
1909_0273,12:05:05,12:05:05,2019,9,4770.949,1
1909_0274,12:15:30,12:15:30,2019,1,0.0,1
1909_0274,12:17:30,12:17:40,2117,2,730.075,1
1909_0274,12:19:00,12:19:10,2116,3,1365.812,1
1909_0274,12:21:00,12:21:10,2114,4,1883.886,1
1909_0274,12:23:00,12:23:10,2113,5,2526.761,1
1909_0274,12:24:30,12:24:40,2128,6,3034.03,1
1909_0274,12:26:00,12:26:10,2127,7,3498.752,1
1909_0274,12:28:30,12:28:40,2126,8,4189.862,1
1909_0274,12:30:00,12:30:00,2125,9,4761.682,1
1909_0275,12:35:00,12:35:00,2125,1,0.0,1
1909_0275,12:36:00,12:36:10,2026,2,592.947,1
1909_0275,12:38:30,12:38:40,2027,3,1257.009,1
1909_0275,12:40:00,12:40:10,2028,4,1728.381,1
1909_0275,12:42:30,12:42:40,2111,5,2105.376,1
1909_0275,12:45:00,12:45:10,2029,6,2777.129,1
1909_0275,12:47:00,12:47:00,2130,7,3449.903,1
1909_0276,13:02:00,13:02:00,2130,1,0.0,1
1909_0276,13:03:30,13:03:40,2129,2,672.418,1
1909_0276,13:06:00,13:06:10,2011,3,1328.24,1
1909_0276,13:08:00,13:08:10,2128,4,1716.92,1
1909_0276,13:09:30,13:09:40,2127,5,2181.642,1
1909_0276,13:12:00,13:12:10,2126,6,2872.752,1
1909_0276,13:13:30,13:13:30,2125,7,3444.572,1
1909_0277,13:20:05,13:20:05,2125,1,0.0,1
1909_0277,13:21:05,13:21:15,2026,2,592.947,1
1909_0277,13:23:35,13:23:45,2027,3,1257.009,1
1909_0277,13:25:05,13:25:15,2028,4,1728.381,1
1909_0277,13:27:05,13:27:15,2013,5,2236.943,1
1909_0277,13:29:05,13:29:15,2014,6,2898.022,1
1909_0277,13:31:05,13:31:15,2016,7,3405.137,1
1909_0277,13:33:05,13:33:15,2017,8,4040.885,1
1909_0277,13:35:05,13:35:05,2019,9,4770.949,1
1909_0278,13:45:30,13:45:30,2019,1,0.0,1
1909_0278,13:47:30,13:47:40,2117,2,730.075,1
1909_0278,13:49:00,13:49:10,2116,3,1365.812,1
1909_0278,13:51:00,13:51:10,2114,4,1883.886,1
1909_0278,13:53:00,13:53:10,2113,5,2526.761,1
1909_0278,13:54:30,13:54:40,2128,6,3034.03,1
1909_0278,13:56:00,13:56:10,2127,7,3498.752,1
1909_0278,13:58:30,13:58:40,2126,8,4189.862,1
1909_0278,14:00:00,14:00:00,2125,9,4761.682,1
1909_0279,14:05:00,14:05:00,2125,1,0.0,1
1909_0279,14:06:00,14:06:10,2026,2,592.947,1
1909_0279,14:08:30,14:08:40,2027,3,1257.009,1
1909_0279,14:10:00,14:10:10,2028,4,1728.381,1
1909_0279,14:12:30,14:12:40,2111,5,2105.376,1
1909_0279,14:15:00,14:15:10,2029,6,2777.129,1
1909_0279,14:17:00,14:17:00,2130,7,3449.903,1
1909_0280,14:32:00,14:32:00,2130,1,0.0,1
1909_0280,14:33:30,14:33:40,2129,2,672.418,1
1909_0280,14:36:00,14:36:10,2011,3,1328.24,1
1909_0280,14:38:00,14:38:10,2128,4,1716.92,1
1909_0280,14:39:30,14:39:40,2127,5,2181.642,1
1909_0280,14:42:00,14:42:10,2126,6,2872.752,1
1909_0280,14:43:30,14:43:30,2125,7,3444.572,1
1909_0281,14:50:05,14:50:05,2125,1,0.0,1
1909_0281,14:51:05,14:51:15,2026,2,592.947,1
1909_0281,14:53:35,14:53:45,2027,3,1257.009,1
1909_0281,14:55:05,14:55:15,2028,4,1728.381,1
1909_0281,14:57:05,14:57:15,2013,5,2236.943,1
1909_0281,14:59:05,14:59:15,2014,6,2898.022,1
1909_0281,15:01:05,15:01:15,2016,7,3405.137,1
1909_0281,15:03:05,15:03:15,2017,8,4040.885,1
1909_0281,15:05:05,15:05:05,2019,9,4770.949,1
1909_0282,15:15:30,15:15:30,2019,1,0.0,1
1909_0282,15:17:30,15:17:40,2117,2,730.075,1
1909_0282,15:19:00,15:19:10,2116,3,1365.812,1
1909_0282,15:21:00,15:21:10,2114,4,1883.886,1
1909_0282,15:23:00,15:23:10,2113,5,2526.761,1
1909_0282,15:24:30,15:24:40,2128,6,3034.03,1
1909_0282,15:26:00,15:26:10,2127,7,3498.752,1
1909_0282,15:28:30,15:28:40,2126,8,4189.862,1
1909_0282,15:30:00,15:30:00,2125,9,4761.682,1
1909_0283,15:35:00,15:35:00,2125,1,0.0,1
1909_0283,15:36:00,15:36:10,2026,2,592.947,1
1909_0283,15:38:30,15:38:40,2027,3,1257.009,1
1909_0283,15:40:00,15:40:10,2028,4,1728.381,1
1909_0283,15:42:30,15:42:40,2111,5,2105.376,1
1909_0283,15:45:00,15:45:10,2029,6,2777.129,1
1909_0283,15:47:00,15:47:00,2130,7,3449.903,1
1909_0284,16:02:00,16:02:00,2130,1,0.0,1
1909_0284,16:03:30,16:03:40,2129,2,672.418,1
1909_0284,16:06:00,16:06:10,2011,3,1328.24,1
1909_0284,16:08:00,16:08:10,2128,4,1716.92,1
1909_0284,16:09:30,16:09:40,2127,5,2181.642,1
1909_0284,16:12:00,16:12:10,2126,6,2872.752,1
1909_0284,16:13:30,16:13:30,2125,7,3444.572,1
1909_0285,16:20:05,16:20:05,2125,1,0.0,1
1909_0285,16:21:05,16:21:15,2026,2,592.947,1
1909_0285,16:23:35,16:23:45,2027,3,1257.009,1
1909_0285,16:25:05,16:25:15,2028,4,1728.381,1
1909_0285,16:27:05,16:27:15,2013,5,2236.943,1
1909_0285,16:29:05,16:29:15,2014,6,2898.022,1
1909_0285,16:31:05,16:31:15,2016,7,3405.137,1
1909_0285,16:33:05,16:33:15,2017,8,4040.885,1
1909_0285,16:35:05,16:35:05,2019,9,4770.949,1
1909_0286,16:45:30,16:45:30,2019,1,0.0,1
1909_0286,16:47:30,16:47:40,2117,2,730.075,1
1909_0286,16:49:00,16:49:10,2116,3,1365.812,1
1909_0286,16:51:00,16:51:10,2114,4,1883.886,1
1909_0286,16:53:00,16:53:10,2113,5,2526.761,1
1909_0286,16:54:30,16:54:40,2128,6,3034.03,1
1909_0286,16:56:00,16:56:10,2127,7,3498.752,1
1909_0286,16:58:30,16:58:40,2126,8,4189.862,1
1909_0286,17:00:00,17:00:00,2125,9,4761.682,1
1909_0287,17:05:00,17:05:00,2125,1,0.0,1
1909_0287,17:06:00,17:06:10,2026,2,592.947,1
1909_0287,17:08:30,17:08:40,2027,3,1257.009,1
1909_0287,17:10:00,17:10:10,2028,4,1728.381,1
1909_0287,17:12:30,17:12:40,2111,5,2105.376,1
1909_0287,17:15:00,17:15:10,2029,6,2777.129,1
1909_0287,17:17:00,17:17:00,2130,7,3449.903,1
1909_0288,17:32:00,17:32:00,2130,1,0.0,1
1909_0288,17:33:30,17:33:40,2129,2,672.418,1
1909_0288,17:36:00,17:36:10,2011,3,1328.24,1
1909_0288,17:38:00,17:38:10,2128,4,1716.92,1
1909_0288,17:39:30,17:39:40,2127,5,2181.642,1
1909_0288,17:42:00,17:42:10,2126,6,2872.752,1
1909_0288,17:43:30,17:43:30,2125,7,3444.572,1
1909_0289,17:50:05,17:50:05,2125,1,0.0,1
1909_0289,17:51:05,17:51:15,2026,2,592.947,1
1909_0289,17:53:35,17:53:45,2027,3,1257.009,1
1909_0289,17:55:05,17:55:15,2028,4,1728.381,1
1909_0289,17:57:05,17:57:15,2013,5,2236.943,1
1909_0289,17:59:05,17:59:15,2014,6,2898.022,1
1909_0289,18:01:05,18:01:15,2016,7,3405.137,1
1909_0289,18:03:05,18:03:15,2017,8,4040.885,1
1909_0289,18:05:05,18:05:05,2019,9,4770.949,1
1909_0290,18:15:30,18:15:30,2019,1,0.0,1
1909_0290,18:17:30,18:17:40,2117,2,730.075,1
1909_0290,18:19:00,18:19:10,2116,3,1365.812,1
1909_0290,18:21:00,18:21:10,2114,4,1883.886,1
1909_0290,18:23:00,18:23:10,2113,5,2526.761,1
1909_0290,18:24:30,18:24:40,2128,6,3034.03,1
1909_0290,18:26:00,18:26:10,2127,7,3498.752,1
1909_0290,18:28:30,18:28:40,2126,8,4189.862,1
1909_0290,18:30:00,18:30:00,2125,9,4761.682,1
1909_0291,18:35:00,18:35:00,2125,1,0.0,1
1909_0291,18:36:00,18:36:10,2026,2,592.947,1
1909_0291,18:38:30,18:38:40,2027,3,1257.009,1
1909_0291,18:40:00,18:40:10,2028,4,1728.381,1
1909_0291,18:42:30,18:42:40,2111,5,2105.376,1
1909_0291,18:45:00,18:45:10,2029,6,2777.129,1
1909_0291,18:47:00,18:47:00,2130,7,3449.903,1
1909_0292,19:02:00,19:02:00,2130,1,0.0,1
1909_0292,19:03:30,19:03:40,2129,2,672.418,1
1909_0292,19:06:00,19:06:10,2011,3,1328.24,1
1909_0292,19:08:00,19:08:10,2128,4,1716.92,1
1909_0292,19:09:30,19:09:40,2127,5,2181.642,1
1909_0292,19:12:00,19:12:10,2126,6,2872.752,1
1909_0292,19:13:30,19:13:30,2125,7,3444.572,1
1909_0293,19:20:05,19:20:05,2125,1,0.0,1
1909_0293,19:21:05,19:21:15,2026,2,592.947,1
1909_0293,19:23:35,19:23:45,2027,3,1257.009,1
1909_0293,19:25:05,19:25:15,2028,4,1728.381,1
1909_0293,19:27:05,19:27:15,2013,5,2236.943,1
1909_0293,19:29:05,19:29:15,2014,6,2898.022,1
1909_0293,19:31:05,19:31:15,2016,7,3405.137,1
1909_0293,19:33:05,19:33:15,2017,8,4040.885,1
1909_0293,19:35:05,19:35:05,2019,9,4770.949,1
